characters-48x48\set-1\classic\bold\word_1.png,ई
characters-48x48\set-1\classic\bold\word_2.png,ऐ
characters-48x48\set-1\classic\bold\word_3.png,ओ
characters-48x48\set-1\classic\bold\word_4.png,औ
characters-48x48\set-1\classic\bold\word_5.png,अ
characters-48x48\set-1\classic\bold\word_6.png,आ
characters-48x48\set-1\classic\bold\word_7.png,इ
characters-48x48\set-1\classic\bold\word_8.png,उ
characters-48x48\set-1\classic\bold\word_9.png,ऊ
characters-48x48\set-1\classic\bold\word_10.png,ए
characters-48x48\set-1\classic\bold\word_11.png,अं
characters-48x48\set-1\classic\bold\word_12.png,अः
characters-48x48\set-1\classic\bold\word_13.png,कि
characters-48x48\set-1\classic\bold\word_14.png,की
characters-48x48\set-1\classic\bold\word_15.png,के
characters-48x48\set-1\classic\bold\word_16.png,कै
characters-48x48\set-1\classic\bold\word_17.png,को
characters-48x48\set-1\classic\bold\word_18.png,कौ
characters-48x48\set-1\classic\bold\word_19.png,क
characters-48x48\set-1\classic\bold\word_20.png,का
characters-48x48\set-1\classic\bold\word_21.png,कु
characters-48x48\set-1\classic\bold\word_22.png,कू
characters-48x48\set-1\classic\bold\word_23.png,कं
characters-48x48\set-1\classic\bold\word_24.png,कः
characters-48x48\set-1\classic\bold\word_25.png,खि
characters-48x48\set-1\classic\bold\word_26.png,खी
characters-48x48\set-1\classic\bold\word_27.png,खे
characters-48x48\set-1\classic\bold\word_28.png,खै
characters-48x48\set-1\classic\bold\word_29.png,खो
characters-48x48\set-1\classic\bold\word_30.png,खौ
characters-48x48\set-1\classic\bold\word_31.png,ख
characters-48x48\set-1\classic\bold\word_32.png,खा
characters-48x48\set-1\classic\bold\word_33.png,खु
characters-48x48\set-1\classic\bold\word_34.png,खू
characters-48x48\set-1\classic\bold\word_35.png,खं
characters-48x48\set-1\classic\bold\word_36.png,खः
characters-48x48\set-1\classic\bold\word_37.png,गि
characters-48x48\set-1\classic\bold\word_38.png,गी
characters-48x48\set-1\classic\bold\word_39.png,गे
characters-48x48\set-1\classic\bold\word_40.png,गै
characters-48x48\set-1\classic\bold\word_41.png,गो
characters-48x48\set-1\classic\bold\word_42.png,गौ
